comment,token
으와앙 인스타에서 보구 클리오 느낌이닷 했는데 진짜 클리오네용  아름송이님 영상은 믿고 봐서 완전 재미있게 감상할게용 🥰❤️ 저 그리구 댓글 잘 안달아서 그렇지 항상 잘 챙겨보고 있어요,"['인스타', '보구', '클리오', '진짜', '클리오네', '용', '아름', '송이', '영상', '완전', '감상', '용', '저', '댓글', '항상', '보고']"
可愛いです、、、❤️,[]
コーラルメイクが一番似合う人話し方も可愛くて好きです🥺,[]
とても可愛いです❤️いつも参考にしています너무 귀여워요 ❤️항상 참고하고 있습니다,"['항상', '참고']"
可愛い可愛すぎる、美容系YouTuberの中で1番好き❤️,[]
ホテルデルーナの時のIUみたい❗,[]
우석さんがclioのイメージモデルになってからclioに興味持つようになって、本気で買うか悩んでたからありがたい！감사합니다❤,['우석']
진짜 너무예뿌다  저랗게 생기면 소원이 없겟다 언니 항상 응원하고 넘 조아여  메이크업영상들,"['진짜', '무예', '뿌', '저랗', '생기', '소원', '언니', '항상', '응원', '메이크업', '영상']"
クッションファンデに外の景色が映ってるwww,[]
すっごいかわいい私も真似してみたいなー！とくにリップの色が素敵アイシャドウとアイラインをブラウンとオレンジにしたのが垢抜けて見える(≧∀≦),[]
日本のブランドでもメイクしてほしいです！！！,[]
やっぱりチェウォンに凄く似てる,[]
오늘도 이쁘시네요다음에는 이니스프리 원브랜드 찍어주세영,"['오늘', '요다음', '이니스프리', '브랜드', '주세영']"
진짜 진짜 진짜 언니 사람 아니죠  흰 옷 입지 마요 승천할수도잇으니까,"['진짜', '진짜', '진짜', '언니', '사람', '옷', '입지', '마', '승천']"
サムネかわいすぎてびっくりした,[]
언니 너무 이쁜거 아닌가요 진짜 볼때마다 너무 존예여서 빛이나요🤭,"['언니', '진짜', '볼때', '존예', '빛', '이나']"
I'm from Indonesia i really like ur videoo and you're totally beautiful Keep fighting areummsongeee✨✨✨✨,[]
귀엽다,[]
갈수록 욀케 이뻐져요 언니 짱성격도 너무 털털해보아구  클리오 흥해랏,"['갈수록', '욀케', '언니', '성격', '털털', '클리오', '흥해랏']"
すっぴんがレベチ🥺🥺くっそかわいい🤎,[]
