Unnamed: 0,youtube_id,comment,like_num
96,이수민,러블리💖,0개
97,비비빅정재현똥꼬,언니 학생이 사기에 덜 부담스러운 제품으로 ‘퍼플메이크업’ 다시 한번만 해주세요!!💜,0개
98,jiyunbaek,"저는 한겨울에도 크롭을 입는 자,,, 인데요 ㅎㅎ 그냥 입고싶은 거 입고 다닙시다>_<! 이것도 하고싶고 저런것도 해보고 싶은데 남들 시선때문에 신경쓰여서 포기한다면 세상엔 너무 포기해야할 것들이 많아요... 시도해보지않으면 나의 취향, 결국 나라는 사람을 알 수 있는 기회도 그만큼 줄지 않을까요 ㅠㅠ? 뭘하든 멋지고 아름다우니 원하는거 다 해보며 삽시다❤️💙",0개
99,Cozyy,결론은 아자아자 화이팅!,1개
100,Soleil,기다렸슨다 💚💚💚,2개
101,아호,우앙 언니 영상 역시 꿀잼★ 언니 가디건은 오디꺼예요? 완전 찰떡템♥,0개
102,AngelicaSuarez,Ahh porque no hay subtítulos en español? ㅠㅠ.... bueno igual te seguiré amando 🥺❤️ cuídate mucho~ ^^,1개
103,마구,남자칭구분이랑 나이차이 많이 나셔요?? ㅎㅎ 말투에서 뭔가 오빠오빠미가 느껴지시네용  😊😊두분 케미가 보기좋네욯ㅎㅎㅎ,0개
104,baebae,"땡하고는아니지만 달려왔지요오🍎♥
아진짜 너어무 눈총주는거 싫어요 ! 
내가입고싶은거입겠다는데 뭘그리 아래위 훑고 뚫어져라보고막 그래서 조크든요심정으로 다니지만 그래도 심한 눈총은 거슬려요 !흥
미국에선 오히려 이쁘게입었을땐 괜히 관심받고싶은데도 아무도 신경안써ㅎㅎ",1개
105,당신을사랑하는강아지,"Gracias por el sub español, muchos exitos y salud. 💕",0개
106,ALEN,I really wanna know what she’s saying but idk Korean.but I’m learn Korean😃,0개
107,너굴냥,저도 지프타는데 사운드 공감 못하겠는데요ㅋㅋ풍절음이랑 외부소음이 너무너무 심해서 전체 바디방음 돈들여 했는데도 소음이 어마무시해서 음악 듣기 힘들던데,1개
108,희주,여보세요 희주 남자 친구가있어서 다행이다 당신은 매우 예쁘다 그리고 매우 사랑스러운 나는 당신의 비디오를 사랑 나는 당신이 어떻게 구성하는지 사랑합니다 당신은 특별하다 예 💜✨ ㅋ ㅋㅋㅋㅋ질문은 나를 웃게했다 당신의 웃음은 예쁘다,0개
109,LisbethSam,Eres tan hermosa y talentosa! <3,0개
110,봉봉,우와 희주님 백운호수 드라이브 하셨군요!,0개
111,오길수,언니 뭔가 걸크러쉬있는 오마이걸 승희 닮았어요,0개
112,zhenxu,you guys are so cute together～,0개
113,PaulinaMejia,해ㅣㅁ,0개
114,LalaChichuu,Thanks so much for sub❤️❤️,0개
115,ArapanBoonnawee,Please add Thai subtitle. 😭,0개
116,automne,Su relación es muy hermosa! ❤️,0개
117,raulaM,"Tienes mucha complicidad con tu novio, me encanto el video y lo felices q se os ve, se nota q es una persona llena de energia positiva, os deseo lo mejor🤩🤩💗💗💗💗",0개
118,JuliaR,Can you put engligh subtitles please?🥺thank you! love your videos 😘,1개
119,AlsAnvagoO,Por favor pon subtítulos en español 💕💕💕 posdata: amo tus vídeos y me encanta tu ropa 🤪,0개
120,GabrielaMorales,"Hermosa, como siempre ❤️",0개
121,HennjhyMosquera,"Por que no generas los subtitulos en Español o al menos en ingles, no entendí nada jajajaja",5개
122,CocoRey,Saludos desde Chile 🇨🇱 amo tus vídeos!! :),0개
123,1Qree,이너정보주세영,0개
124,ViViNinii,"Mi inglés es realmente malo, de hecho entendí mas en coreano que en inglés",0개
125,울이,언니 유학 다녀오셨나요...? 언니 안지 별로 안돼서..러시아어인가..?,0개
126,camilapacas,Hola saludos desde El salvador que bueno que practicas el español!!,0개
127,이름,폰 케이스 정보 좀 주실 수 있을까요?,0개
128,PaoAlanz,"No entendí nada, pero los vi con gusto.☺Me pregunto a dónde irían...🤔",0개
129,LuciaHernndez,Eres preciosa y me caes súper bien y tu novio se ve muy simpático. Me encantan como piensan con lo de los sostenes 👏👏👏,1개
130,Marisolsantos,Y mis subtítulos :'(,2개
131,JAL,"Disfrute mucho tu vídeo , fue muy divertido Gracias por tu lindo trabajo cuídate un montón y sigue adelante !! Bendiciones 😁👍🏻💕",0개
132,Singularity,"Casi nunca te veo sonreír en tus vídeos pero ahora que te vi sonreír.... la sonrisa más bonita del mundo 😔👌🏻

Eres tan cute, ánimo te amo <3",0개
133,Mariaignacia,Podrías poner subs en español?...es que no entiendo nada 🥺😅💕,0개
134,BolitaDequesobitch,"Me encantoooo, me encanta el Stilo de maquillaje que usas loviuuuuuu ❤️❤️❤️❤️😍",0개
135,SusanLee,"Gracias llenar mis días Yoo.xx y terminar este día con tu video . Eres la mejor, te admiro como persona :') 
Nunca olvides sonreír \^-^/",0개
136,Celinapmz,"De verdad me gustó eso de ""hacer dinero con lo que te gusta"" hay una frase muy popular que dice ""Si trabajas en algo que te gusta no tendrás que trabajar ni un solo día de tu vida"" Yo de verdad anhelo encontrar aquello que me haga levantarme con motivación todos los días de mi vida, y en un futuro no tener arrepentimientos! Saludos desde México! Y muchas gracias por los subtítulos en español, eres hermosa! 🇲🇽💓",1개
137,PiaAaaaA,"llegue temprano,amo tus vídeos ❣❣❣",3개
138,LalaChichuu,Eng sub please 😥😥❣️,0개
139,MariellaUgarte,Esperando los subtítulos aunque sea en inglés...Amo tu contenido,0개
140,JilseneWylee,I hope she’ll add english subtitles 😌,0개
141,StefanyFelix,"Taaaaaan bonitos, muy linda pareja les deseo lo mejor ❤️",0개
142,KiranaH,Eng sub pleasee :(,1개
143,AlejandraCabrera,Tendrá subtítulos en español?🥺,0개
144,IsisZamiraLemus,"Yoo! Holi, Ya que viviste en Colombia por tanto tiempo, conociste sobre la cultura, etc. Te comprendo cuando dices que fue muy difícil creo que para cualquier persona seria muy difícil iniciar en un país que nada que ver. Pero quisiera saber por que prefieres Corea que a Colombia. Me encantaría conocer tu punto de vista del por qué y respeto tus preferencias y pensamientos, besitos.",0개
145,aylenAres,😭😭😭 no pusiste subtítulo en spanish igualmente lo vi completo a pesar de que no se mucho Coreano 😅 te quiero y cuídate 🇦🇷🍃,0개
146,KELLYBUITRAGO,no entendí nada pero me encanto el video❤️,0개
147,capuleto,OMG!! tu español es muy bueno!,0개
148,최정현,혹시 가디건 어디 제품인가용??💓,0개
149,노아린,몇살이신고에요???,0개
150,Bruh,Yoo why do you hide your boyfriend's face? Is it to protect his identity from potential harassment?,0개
151,victornaranjo,Cuando videos en español ?!?!??!! Amo y extraño tus vídeos cuando hablás español.😅💕,0개
152,KaruTerra,Solo entendí lo de los tatuajes 😍😂,0개
153,남주혁NARAE,오랜만에 1등하고싶어서 대기타구 있었는데 1등은 놓쳐부려따.......힝 언니 사당행...❤️❤️,2개
154,DanielaVelascoMartnez,Estás preciosa y transmites vibras muy lindas ❣️🦋,1개
155,JessyMor,She said yes there are subtitles so i came and there is none...,0개
156,스린,언니 폰케이스 어디서 사셨어용?!,0개
157,Yammluv,He estado esperando tu video ❤❤❤,0개
158,ashley,You and your boyfriend 🥰🥰🥺🥺🥺,0개
159,YeralMSs,Gracias por los subtítulos 🥰🙏,0개
0,YoosBeauty희주,보송보송 복숭아같은 유후들 좋은밤 보내요🍑🍑🍑🤍🤍🤍,197개
1,PaulaJaramillo,Yo intentando maquillarme como ella.Todo salio mal😁,116개
2,권진희,렌즈 정보 너무 궁굼합니당...😭,108개
3,덕만이,항상 느끼는건데 진짜 힙한 오마이걸 승희같아요..,139개
4,AlejandraJimnezArizmendi,"Hola, primero quería decirte que me encantan tus videos, tu estilo y que me pareces muy linda ☺.
Quería proponerte un vídeo: Creo que sería muy interesante que enseñaras  tu rutina facial, porque tienes una piel muy bonita, o  decir si utilizas algún remedio casero, o algún truco tuyo para mantener bien tu piel. Espero que te hagas muy famosa, porque te lo mereces, adiós 🤗",18개
5,채롱언니,다이쁘신데 입술이 젤 이쁘신듯💋 ㅠㅠㅠㅠ외귝인 입술이여ㅏ요 ㅠ💕,45개
6,JP,언니 진짜 어떻게 이렇게 항상 이쁠수가있어여..... 반해진짜 ㅠㅠ,53개
7,EllieShanti,How does she get her makeup to look so fresh and clean? And polished? 😭,28개
